"date","cars","buses","rail","air","other"
"1974",125.266682618869,7.43521875554975,9.9631144432566,8.2816656171245,15.892833288468
"1975",130.135065553014,7.42134662013729,8.89505767237122,8.29414854332739,16.5367444807849
"1976",135.962019239888,7.49826105431102,8.59514562510434,7.98910764176324,18.0752754491672
"1977",140.518585582322,7.59637034375005,8.3151003225109,8.89871752272977,18.9871851779943
"1978",144.41611776517,7.70059997613825,8.15497510600461,9.39649457210804,19.3638357986216
"1979",144.940322766753,8.15552208294118,8.45706066250531,10.3556088028398,19.2569233339448
"1980",147.139724955025,8.718061445985,8.69531105777219,10.704205315463,19.6930420190982
"1981",154.293121476835,9.21744143066543,8.66901896098802,11.1533972248877,20.0932162528502
"1982",154.807246851281,10.4581725285853,8.52199589739235,10.2654189063384,19.8243270317654
"1983",161.840288603547,11.7084023230634,8.47679196072203,10.635359255475,21.0825607034128
"1984",167.932940020716,13.0223415341549,8.46361901931517,11.3367640934,21.9934987324128
"1985",173.051066392672,14.0029301188245,9.0225484079436,12.3429626547061,22.1415969123152
"1986",176.783568798548,15.0287481308781,9.41900348525118,13.1575981572719,22.2251177136308
"1987",185.469326509154,16.0193706755732,9.84338200864044,14.46098272245,22.7987990867211
"1988",194.407673484782,16.8655497804981,10.1643705220844,15.0689353954757,23.7577008894242
"1989",200.049284572066,17.7334960911582,10.0050139601888,11.2575080573659,23.7333859276311
"1990",200.486182421652,17.0390422607077,9.96991820086495,15.9788674947389,22.8756284821143
"1991",204.505702627796,16.5683875701048,9.7901881542996,20.7245157413822,22.9818688973288
"1992",210.809572085338,16.5056766798329,9.48233882996085,20.9940037491353,23.3886377997529
"1993",216.146957489378,16.3065047690694,9.76279788714445,24.4283907879368,24.0841021837326
"1994",222.866257840254,16.0972665737202,10.1335976155152,26.9760679158693,25.3945170807681
"1995",226.007656857885,16.6157024887403,10.4460966184186,28.9807223184037,25.9019261890034
"1996",227.677145692245,16.4220183167295,10.7233793394408,29.9804795990861,25.9524295831039
"1997",229.896114899908,16.5777696802829,10.7237342232465,30.4438690007195,26.6799785305693
"1998",235.269738555336,16.6401285314567,10.9194231795202,31.0565569117636,27.1556177636256
"1999",239.809397189679,16.9914190735143,11.2963933526719,32.8446990952249,27.6040792953899
"2000",237.162239674255,17.2613118267148,11.8860011558455,35.6766052114,27.8927837889851
"2001",243.1668833959,17.3482382847621,11.7133617945794,33.0093225571532,28.9010220595378
"2002",249.454469932239,17.6839538470281,11.7076809656124,35.8330551596247,29.7255983948546
"2003",261.374064428655,17.7580983716748,11.7929291075252,41.1487823077388,30.6497530217811
"2004",262.062945490014,17.841722549081,11.7694386884977,45.8992289514238,30.8861499758295
"2005",257.211383627037,18.2738161637405,12.2961263141459,48.6977425434044,31.6036973734624
"2006",260.424712542,18.5505099069762,12.8859488533969,53.0132970478157,32.7821539972223
"2007",261.870774129888,18.9071388845975,13.9118220736993,57.2425749745663,34.626432824741
"2008",260.704107125487,19.2972050758856,14.6209258158129,58.6262194013254,35.8914987247687
"2009",262.202900492459,19.514197541487,14.5536283905377,60.2233073867793,38.0233970349569
"2010",264.726912951574,19.8437945179843,14.7941233000557,64.5569440654444,38.9547213230383
"2011",266.908180789232,20.3502664928574,15.0769797434556,66.4065064391657,39.9324256017506
"2012",272.322170863883,20.7129617487551,15.0493099907463,69.6588988293876,40.9928557076507
"2013",276.499575479147,21.0784426503136,15.0717350757348,70.8575788055235,41.9980513653249
"2014",279.583276567435,21.1749050627103,15.4737957112075,70.1621436796145,43.1523042606426
"2015",281.051712041842,21.3902058290354,16.0401418462262,71.484226951316,44.5190587810879
"2016",282.192890239145,21.4016055624196,16.5768190337674,72.0134802443045,46.0399469087609
"2017",282.963997445262,21.6577857734511,17.2082162660734,73.4336211260925,47.8662489079858
"2018",281.437027317193,21.9946616593876,17.8713293753531,73.759875852561,48.0958404577301
"2019",260.807574771081,16.1504801387176,14.2132569532848,55.7079047021759,46.7450784320981
"2020",262.851849712331,11.9115514116813,8.80191783603494,28.2030335513872,47.3342285844387
"2021",252.214746710415,11.7087346075965,8.16973691716349,38.3272671103283,48.5115754344937
"2022",270.429546328177,16.237602841403,13.1521684535172,70.0412772270859,49.9966874993865
